Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
133,133,Went for a long walk.,negative,2023-01-27 04:00:00,User5,Facebook,#Travel,23,59,India,2023,1,27,4
134,134,Had a great day at the beach!,positive,2023-07-22 12:00:00,User15,Facebook,#Sad #Happy #Chill,7,491,UK,2023,7,22,12
135,135,Feeling grateful today.,neutral,2023-02-12 08:00:00,User10,Instagram,#Life #Fun #Sad,4,28,Canada,2023,2,12,8
136,136,Cooked a new recipe.,negative,2023-10-02 04:00:00,User13,Instagram,#Travel #Family #Happy,63,165,USA,2023,10,2,4
137,137,Had a productive meeting.,positive,2023-09-07 03:00:00,User2,Twitter,#Travel #Happy,97,33,UK,2023,9,7,3
138,138,Nothing much happened today.,positive,2023-08-01 03:00:00,User3,Twitter,#Food #Travel,28,227,UK,2023,8,1,3
139,139,Excited for the weekend!,positive,2023-05-13 03:00:00,User16,Instagram,#Travel,61,314,India,2023,5,13,3
140,140,Cooked a new recipe.,positive,2023-02-08 21:00:00,User14,Facebook,#Happy #Friends,60,92,Australia,2023,2,8,21
141,141,Bought a new gadget.,neutral,2023-07-26 03:00:00,User20,Twitter,#Sad #Fun,82,377,Australia,2023,7,26,3
142,142,Had a disappointing experience.,neutral,2023-10-04 16:00:00,User3,Twitter,#Travel #Sad #Fun,24,239,India,2023,10,4,16
143,143,Had a disappointing experience.,neutral,2023-01-23 01:00:00,User7,Facebook,#Friends #Food #Chill,74,466,UK,2023,1,23,1
144,144,Feeling grateful today.,positive,2023-02-23 11:00:00,User9,Twitter,#Life #Work,73,273,UK,2023,2,23,11
145,145,Excited for the weekend!,positive,2023-12-10 06:00:00,User7,Twitter,#Life,4,222,Canada,2023,12,10,6
146,146,Enjoyed a delicious meal.,negative,2023-07-27 15:00:00,User7,Twitter,#Work #Food #Travel,61,354,UK,2023,7,27,15
147,147,Watched a new movie.,neutral,2023-04-18 14:00:00,User14,Twitter,#Chill #Life,99,304,Canada,2023,4,18,14
148,148,Enjoyed a delicious meal.,negative,2023-12-07 23:00:00,User15,Facebook,#Sad #Travel,100,76,UK,2023,12,7,23
149,149,Had a productive meeting.,positive,2023-03-17 08:00:00,User11,Twitter,#Chill,28,383,Australia,2023,3,17,8
150,150,Bought a new gadget.,negative,2023-07-26 18:00:00,User19,Twitter,#Travel #Family #Work,40,401,UK,2023,7,26,18
151,151,Enjoyed a delicious meal.,positive,2023-09-26 21:00:00,User12,Twitter,#Happy #Sad #Fun,58,425,USA,2023,9,26,21
152,152,Missed my train this morning.,negative,2023-10-29 13:00:00,User18,Instagram,#Happy #Work #Life,46,323,Canada,2023,10,29,13
153,153,Feeling grateful today.,neutral,2023-06-17 02:00:00,User3,Instagram,#Life #Fun,85,185,Australia,2023,6,17,2
154,154,Met some old friends today.,negative,2023-09-29 05:00:00,User15,Facebook,#Travel #Family,90,183,UK,2023,9,29,5
155,155,Enjoyed a delicious meal.,positive,2023-11-13 10:00:00,User9,Twitter,#Sad,20,236,India,2023,11,13,10
156,156,Stuck in traffic for hours.,negative,2023-05-16 01:00:00,User17,Instagram,#Happy,77,400,Canada,2023,5,16,1
157,157,Watched a new movie.,neutral,2023-09-02 02:00:00,User2,Facebook,#Family #Life,83,11,Australia,2023,9,2,2
158,158,Watched a new movie.,neutral,2023-11-21 05:00:00,User1,Twitter,#Happy #Family,96,410,Canada,2023,11,21,5
159,159,Excited for the weekend!,positive,2023-05-15 05:00:00,User4,Facebook,#Food,64,164,Canada,2023,5,15,5
160,160,Feeling grateful today.,neutral,2023-04-24 06:00:00,User10,Instagram,#Work #Friends,6,358,Canada,2023,4,24,6
161,161,Bought a new gadget.,positive,2023-11-22 06:00:00,User2,Twitter,#Family,86,232,USA,2023,11,22,6
162,162,Went for a long walk.,negative,2023-11-05 03:00:00,User9,Instagram,#Life,90,140,Australia,2023,11,5,3
163,163,The weather is amazing today.,neutral,2023-10-01 02:00:00,User12,Twitter,#Friends #Happy #Chill,30,11,Canada,2023,10,1,2
164,164,Watched a new movie.,negative,2023-01-22 13:00:00,User18,Instagram,#Work,60,115,Australia,2023,1,22,13
165,165,The weather is amazing today.,neutral,2023-04-20 16:00:00,User10,Instagram,#Travel #Fun #Family,26,378,India,2023,4,20,16
166,166,Stuck in traffic for hours.,neutral,2023-02-20 01:00:00,User19,Facebook,#Travel #Friends #Family,35,262,UK,2023,2,20,1
167,167,Had a disappointing experience.,negative,2023-12-22 22:00:00,User4,Twitter,#Friends #Work,51,60,UK,2023,12,22,22
168,168,Met some old friends today.,positive,2023-08-30 03:00:00,User13,Twitter,#Sad #Work,6,431,Australia,2023,8,30,3
169,169,Feeling grateful today.,negative,2023-02-12 02:00:00,User3,Twitter,#Food #Happy #Friends,74,15,UK,2023,2,12,2
170,170,Had a productive meeting.,negative,2023-01-13 17:00:00,User11,Twitter,#Fun #Life,61,32,India,2023,1,13,17
171,171,The weather is amazing today.,neutral,2023-01-26 16:00:00,User13,Twitter,#Travel #Chill #Family,75,353,Australia,2023,1,26,16
172,172,Enjoyed a delicious meal.,positive,2023-03-05 08:00:00,User13,Facebook,#Happy #Work #Family,55,347,India,2023,3,5,8
173,173,Lost my keys again.,positive,2023-06-03 19:00:00,User1,Twitter,#Travel #Chill,37,358,UK,2023,6,3,19
174,174,Went for a long walk.,positive,2023-01-15 22:00:00,User9,Facebook,#Chill #Family #Sad,95,220,UK,2023,1,15,22
175,175,Had a disappointing experience.,neutral,2023-02-12 14:00:00,User6,Instagram,#Food,56,299,USA,2023,2,12,14
176,176,Went for a long walk.,negative,2023-05-20 08:00:00,User2,Facebook,#Friends #Sad #Happy,84,74,USA,2023,5,20,8
177,177,Had a disappointing experience.,positive,2023-05-21 18:00:00,User8,Facebook,#Chill #Sad,26,196,Australia,2023,5,21,18
178,178,Feeling a bit under the weather.,positive,2023-10-02 10:00:00,User20,Twitter,#Fun,17,349,UK,2023,10,2,10
179,179,Work was exhausting.,positive,2023-03-14 22:00:00,User16,Twitter,#Chill #Friends #Fun,7,258,India,2023,3,14,22
180,180,Feeling a bit under the weather.,negative,2023-03-06 09:00:00,User2,Twitter,#Friends #Fun #Happy,1,194,UK,2023,3,6,9
181,181,Excited for the weekend!,neutral,2023-02-12 07:00:00,User5,Instagram,#Food #Fun #Chill,34,323,Canada,2023,2,12,7
182,182,Watched a new movie.,positive,2023-03-28 17:00:00,User6,Twitter,#Life #Food,16,312,UK,2023,3,28,17
183,183,Met some old friends today.,neutral,2023-03-24 19:00:00,User8,Instagram,#Fun #Food #Travel,72,128,India,2023,3,24,19
184,184,Looking forward to tomorrow.,positive,2023-01-06 21:00:00,User1,Instagram,#Sad #Food #Happy,62,98,UK,2023,1,6,21
185,185,Feeling grateful today.,neutral,2023-10-19 20:00:00,User20,Facebook,#Friends #Sad #Family,70,399,USA,2023,10,19,20
186,186,Had a productive meeting.,neutral,2023-11-21 16:00:00,User6,Twitter,#Sad,8,315,USA,2023,11,21,16
187,187,Excited for the weekend!,positive,2023-09-03 21:00:00,User14,Twitter,#Work #Chill #Food,42,217,Canada,2023,9,3,21
188,188,Nothing much happened today.,neutral,2023-12-27 13:00:00,User12,Twitter,#Chill #Happy,53,263,USA,2023,12,27,13
189,189,Had a productive meeting.,positive,2023-03-02 00:00:00,User7,Instagram,#Family,96,116,Australia,2023,3,2,0
190,190,Had a disappointing experience.,positive,2023-02-21 06:00:00,User17,Instagram,#Work #Sad #Happy,99,108,Australia,2023,2,21,6
191,191,Watched a new movie.,neutral,2023-07-26 13:00:00,User1,Facebook,#Travel #Happy,0,46,Canada,2023,7,26,13
192,192,Had a great day at the beach!,negative,2023-05-26 07:00:00,User12,Twitter,#Chill,3,409,Canada,2023,5,26,7
193,193,Stuck in traffic for hours.,negative,2023-12-31 22:00:00,User17,Facebook,#Happy #Friends #Sad,17,303,USA,2023,12,31,22
194,194,Lost my keys again.,positive,2023-07-24 20:00:00,User11,Twitter,#Fun,57,237,USA,2023,7,24,20
195,195,Met some old friends today.,neutral,2023-11-30 07:00:00,User13,Instagram,#Travel #Family,81,373,UK,2023,11,30,7
196,196,Cooked a new recipe.,neutral,2023-12-11 12:00:00,User8,Twitter,#Travel,79,419,USA,2023,12,11,12
197,197,Enjoyed a delicious meal.,positive,2023-01-13 13:00:00,User12,Facebook,#Travel #Life #Food,47,310,USA,2023,1,13,13
198,198,Had a great day at the beach!,positive,2023-07-11 04:00:00,User10,Twitter,#Happy #Travel #Food,87,236,UK,2023,7,11,4
199,199,Missed my train this morning.,neutral,2023-06-20 07:00:00,User20,Twitter,#Family #Travel #Fun,72,432,Canada,2023,6,20,7
200,200,Excited for the weekend!,neutral,2023-07-14 21:00:00,User11,Instagram,#Friends #Chill,16,192,Australia,2023,7,14,21
201,201,Had a great day at the beach!,negative,2023-11-11 08:00:00,User12,Twitter,#Food #Family #Sad,34,129,Australia,2023,11,11,8
202,202,The weather is amazing today.,negative,2023-07-29 23:00:00,User14,Twitter,#Life #Food,12,94,Australia,2023,7,29,23
203,203,The weather is amazing today.,negative,2023-02-14 09:00:00,User4,Twitter,#Friends #Happy,96,107,UK,2023,2,14,9
204,204,Had a disappointing experience.,negative,2023-06-05 21:00:00,User20,Twitter,#Work #Life #Travel,48,99,UK,2023,6,5,21
205,205,Excited for the weekend!,neutral,2023-05-08 19:00:00,User10,Instagram,#Family,3,253,Canada,2023,5,8,19
206,206,Just finished reading a book.,negative,2023-12-30 20:00:00,User19,Facebook,#Food #Friends #Sad,10,496,Australia,2023,12,30,20
207,207,Stuck in traffic for hours.,neutral,2023-11-20 23:00:00,User3,Instagram,#Sad #Work,36,261,India,2023,11,20,23
208,208,Had a disappointing experience.,positive,2023-07-21 17:00:00,User10,Instagram,#Food,8,19,India,2023,7,21,17
209,209,Had a disappointing experience.,positive,2023-02-10 19:00:00,User3,Facebook,#Chill #Fun #Friends,31,7,Australia,2023,2,10,19
210,210,The weather is amazing today.,positive,2023-11-08 07:00:00,User18,Instagram,#Sad,93,368,UK,2023,11,8,7
211,211,Had a great day at the beach!,positive,2023-06-10 09:00:00,User2,Instagram,#Food #Work,3,149,UK,2023,6,10,9
212,212,Work was exhausting.,neutral,2023-03-27 00:00:00,User10,Twitter,#Chill #Food #Life,28,75,Canada,2023,3,27,0
213,213,Missed my train this morning.,negative,2023-07-05 16:00:00,User8,Twitter,#Work,98,69,UK,2023,7,5,16
214,214,Went for a long walk.,negative,2023-07-20 10:00:00,User17,Facebook,#Family #Sad #Life,66,490,UK,2023,7,20,10
215,215,Feeling grateful today.,positive,2023-05-14 12:00:00,User20,Instagram,#Life #Family,98,293,UK,2023,5,14,12
216,216,Just finished reading a book.,negative,2023-04-08 22:00:00,User13,Instagram,#Travel #Friends,91,65,India,2023,4,8,22
